Sl.No.,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,
359,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Quarry Accident,0,0,0,0,,,,,,
360,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Spurious Liquor (Hooch) Accident,0,0,0,0,,,,,,
361,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Railway Accident,0,0,0,0,,,,,,
362,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Others,55,6,5,2,,,,,,
363,A - IPC Crime,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC/106 BNS),National Highways,2671,282,266,294,,,,,,
364,A - IPC Crime,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC/106 BNS),State Highways,2060,230,220,188,,,,,,
365,A - IPC Crime,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC/106 BNS),Other Roads,2765,314,298,280,,,,,,
366,A - IPC Crime,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC/106 BNS),Other Places,103,16,6,11,,,,,,
367,A - IPC Crime,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC/281,125(a),125(b) BNS)",National Highways,6809,833,766,852,,,,,,
368,A - IPC Crime,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC/281,125(a),125(b) BNS)",State Highways,4727,525,513,548,,,,,,
369,A - IPC Crime,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC/281,125(a),125(b) BNS)",Other Roads,9088,1072,1120,1141,,,,,,
370,A - IPC Crime,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC/281,125(a),125(b) BNS)",Other Places,277,44,25,30,,,,,,
371,A - IPC Crime,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC/88,89,90 BNS)",Child,14,0,1,2,,,,,,
372,A - IPC Crime,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC/88,89,90 BNS)",Woman,1,1,0,0,,,,,,
373,A - IPC Crime,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC/88,89,90 BNS)",Women and Child,0,0,0,0,,,,,,
374,A - IPC Crime,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC/159 TO 168 EXCEPT 164 BNS)",Air Force,0,0,0,0,,,,,,
375,A - IPC Crime,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC/159 TO 168 EXCEPT 164 BNS)",Army,0,0,0,0,,,,,,
376,A - IPC Crime,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC/159 TO 168 EXCEPT 164 BNS)",Navy,0,0,0,0,,,,,,
377,A - IPC Crime,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC/159 TO 168 EXCEPT 164 BNS)",Sub Total,0,0,0,0,,,,,,
378,A - IPC Crime,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC/159 TO 168 EXCEPT 164 BNS)","ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE (Sec.224, 225, 225(B) IPC/262,263,265 BNS)",,,,,,,,,,
379,A - IPC Crime,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC/159 TO 168 EXCEPT 164 BNS)",From Jail Custody,5,0,0,0,,,,,,
380,A - IPC Crime,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC/159 TO 168 EXCEPT 164 BNS)",From Police Custody,12,3,3,1,,,,,,
381,A - IPC Crime,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC/159 TO 168 EXCEPT 164 BNS)",Others,7,1,3,1,,,,,,
382,A - IPC Crime,"IMPERSONATION (Sec.170, 171 IPC/204,205 BNS)",Attempt to Commit,7,0,0,2,,,,,,
383,A - IPC Crime,"IMPERSONATION (Sec.170, 171 IPC/204,205 BNS)",Non-Uniformed Authority,3,1,0,1,,,,,,
384,A - IPC Crime,"IMPERSONATION (Sec.170, 171 IPC/204,205 BNS)",Uniformed Authority,2,0,0,0,,,,,,
385,A - IPC Crime,"MISCHIEF (Sec.427 to 440 except 434, 435, 436, 438 IPC/324(4) TO 324(6) BNS)",NA,319,38,45,44,,,,,,
386,A - IPC Crime,MOLESTATION (Sec.354 IPC/74 BNS),Attempt to Commit,44,6,7,5,,,,,,
387,A - IPC Crime,MOLESTATION (Sec.354 IPC/74 BNS),Private Place,637,83,97,69,,,,,,
388,A - IPC Crime,MOLESTATION (Sec.354 IPC/74 BNS),Public Conveyance,7,2,1,4,,,,,,
389,A - IPC Crime,MOLESTATION (Sec.354 IPC/74 BNS),Public Place,1434,181,167,167,,,,,,
390,A - IPC Crime,MOLESTATION (Sec.354 IPC/74 BNS),Other Places,1779,207,217,202,,,,,,
391,A - IPC Crime,POISONING-PROFESSIONAL (Sec. 328 IPC/123 BNS),Attempt to Commit,9,0,1,1,,,,,,
392,A - IPC Crime,POISONING-PROFESSIONAL (Sec. 328 IPC/123 BNS),Fatal,0,0,0,0,,,,,,
393,A - IPC Crime,POISONING-PROFESSIONAL (Sec. 328 IPC/123 BNS),Non Fatal,2,0,0,0,,,,,,
394,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Advertisement,0,0,0,0,,,,,,
395,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Audio Tape,1,0,1,0,,,,,,
396,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Book,0,0,0,0,,,,,,
397,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Computer Software,0,0,0,0,,,,,,
398,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Figures,0,0,0,0,,,,,,
399,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Film (Blue),0,0,0,0,,,,,,
400,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Painting,0,0,0,0,,,,,,
401,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Pamphlet,0,0,0,0,,,,,,
402,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Paper,1,0,0,0,,,,,,
403,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Photography,0,0,0,0,,,,,,
404,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Poster,6,0,3,0,,,,,,
405,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Video Film(Blue),1,0,1,0,,,,,,
406,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Others,14,0,4,7,,,,,,
407,A - IPC Crime,PUBLIC JUSTICE (Sec.213 to 215 IPC/250 TO 252 BNS),NA,6,0,1,3,,,,,,
408,A - IPC Crime,"PUBLIC NUISANCE (Sec.291 and 510 IPC/293,355 BNS)",NA,159,5,24,26,,,,,,
409,A - IPC Crime,"PUBLIC SAFETY (Sec.269 to 271, 277, 283, 289 IPC/271 to 273, 279,285,291 BNS)",NA,2724,227,393,911,,,,,,
410,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Attempt to Commit,14,2,1,0,,,,,,
411,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Defence Personnel,2,0,0,0,,,,,,
412,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Jail Personnel,9,1,1,1,,,,,,
413,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Judicial Official,17,0,1,0,,,,,,
414,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Minister,0,0,0,0,,,,,,
415,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",MLA,0,0,0,0,,,,,,
416,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",MP,0,0,0,0,,,,,,
417,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Nationalised Bank Personnel,2,0,0,0,,,,,,
418,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Other Elected Member,4,2,0,0,,,,,,
419,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Other Enforcement Official,1,3,1,0,,,,,,
420,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Other Govt. Official,306,34,39,40,,,,,,
421,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Para Military Personnel,2,0,0,0,,,,,,
422,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Police Personnel,348,36,41,37,,,,,,
423,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Public Sector Undertaking Official,95,6,12,10,,,,,,
424,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Defence Personnel,0,0,0,0,,,,,,
425,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Jail Personnel,0,0,0,0,,,,,,
426,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Judicial Official,0,0,0,0,,,,,,
427,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Minister,0,0,0,0,,,,,,
428,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",MLA,0,0,0,0,,,,,,
429,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",MP,0,0,0,0,,,,,,
430,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Nationalised Bank Personnel,0,0,0,0,,,,,,
431,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Other Elected Member,0,0,0,0,,,,,,
432,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Other Enforcement Official,0,0,0,0,,,,,,
433,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Other Govt. Official,0,0,0,0,,,,,,
434,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Para Military Personnel,0,0,0,0,,,,,,
435,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Police Personnel,0,0,0,0,,,,,,
436,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Public Sector Undertaking Official,2,0,0,0,,,,,,
437,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Others,0,0,0,0,,,,,,
438,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Animal -Related,40,5,3,9,,,,,,
439,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Boat/Vessel - Related,1,0,0,0,,,,,,
440,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Explosive/Explosive Substances - Related,14,6,1,0,,,,,,
441,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Inflammable Substance- Related ,14,3,0,1,,,,,,
442,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Machinery - Related,86,6,10,10,,,,,,
443,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Poisonous Substance - Related,10,1,3,1,,,,,,
444,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Other - Related,973,428,82,117,,,,,,
445,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Human - Related,763,113,72,80,,,,,,
446,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Wheeling,119,0,23,49,,,,,,
447,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Drink & Drive Without DL,37,0,9,12,,,,,,
448,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Death Causeed By Electric Shock,58,6,2,4,,,,,,
449,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Defective Silencer,8,0,0,0,,,,,,
450,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Footpath Riding,2,0,1,1,,,,,,
451,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Racing & Trials of Speed,1,0,0,1,,,,,,
452,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Rash & Negligence/Dangerous Driving,251,0,61,139,,,,,,
453,A - IPC Crime,RECEIVING OF STOLEN PROPERTY (Sec.411 to 414 IPC/317(2) TO 317(5) BNS),,2,0,0,1,,,,,,
454,A - IPC Crime,SEDITION (Sec. 124A IPC/IN BNS Deleted),Attempt to Commit,0,0,0,0,,,,,,
455,A - IPC Crime,SEDITION (Sec. 124A IPC/IN BNS Deleted),By Foreigner,0,0,0,0,,,,,,
456,A - IPC Crime,SEDITION (Sec. 124A IPC/IN BNS Deleted),By National,0,0,0,0,,,,,,
457,A - IPC Crime,SEDITION (Sec. 124A IPC/IN BNS Deleted),By National And Foreigner,0,0,0,0,,,,,,
458,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),Attempt to Commit,8,1,0,0,,,,,,
459,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),Office,11,1,1,2,,,,,,
460,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),Public Conveyance,6,0,2,1,,,,,,
461,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),Public Place,90,7,11,15,,,,,,
462,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),Other Places,148,4,19,14,,,,,,
463,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC/107,108 BNS)",Dowry,4,2,0,1,,,,,,
464,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC/107,108 BNS)",Abetment of Suicide,258,32,37,30,,,,,,
465,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC/107,108 BNS)",Other Reasons,196,19,23,19,,,,,,
466,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC/107,108 BNS)",Attempt to Commit suicide,55,2,6,7,,,,,,
467,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Abetment  ,0,0,0,0,,,,,,
468,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Animal  ,0,0,0,0,,,,,,
469,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Attempt,0,0,0,0,,,,,,
470,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Major - Man,0,0,0,0,,,,,,
471,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Major - Woman,0,0,0,0,,,,,,
472,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Minor - Boy,0,0,0,0,,,,,,
473,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Minor - Girl,0,0,0,0,,,,,,
474,A - IPC Crime,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",Attempt to Commit,24,6,3,5,,,,,,
475,A - IPC Crime,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",To Extort Confession,4,0,1,0,,,,,,
476,A - IPC Crime,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",To Extort Property,21,2,3,3,,,,,,
477,A - IPC Crime,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",To settle Dispute,13,1,0,1,,,,,,
478,A - IPC Crime,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",Others,292,40,50,34,,,,,,
479,A - IPC Crime,"INFANTICIDE (Sec.315, 316 IPC/91,92 BNS)",Male,2,0,0,0,,,,,,
480,A - IPC Crime,"INFANTICIDE (Sec.315, 316 IPC/91,92 BNS)",Female,3,1,1,0,,,,,,
481,A - IPC Crime,"OFFENCES RELATED TO MARRIAGE (Sec.493 to 498 IPC/81,84 BNS)",NA,29,0,3,3,,,,,,
482,A - IPC Crime,"BUYING & SELLING MINOR FOR PROSTITUTION (Sec.372, 373 IPC/98,99 BNS)",NA,0,0,0,0,,,,,,
483,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC/346-350(2) BNS),Documents  ,1,0,0,1,,,,,,
484,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC/346-350(2) BNS),Property  ,0,0,0,0,,,,,,
485,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC/350(2)-356(4) BNS),Persons ,1,1,0,0,,,,,,
486,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC/350(2)-356(4) BNS),Printed Matter,0,0,0,0,,,,,,
487,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC/350(2)-356(4) BNS),Others,1,0,0,1,,,,,,
488,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC/173-177 BNS),Assembly,0,0,0,0,,,,,,
489,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC/173-177 BNS),Parliament,1,1,0,0,,,,,,
490,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC/173-177 BNS),Other Elected Bodies,4,0,0,4,,,,,,
491,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC/143,145,146 BNS)",Man,0,0,0,0,,,,,,
492,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC/143,145,146 BNS)",Woman,0,0,0,0,,,,,,
493,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC/143,145,146 BNS)",Boy,3,0,1,0,,,,,,
494,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC/143,145,146 BNS)",Girl,0,0,0,0,,,,,,
495,A - IPC Crime,Attempting to commit offences (Sec.511 IPC/62 BNS),Attempting to commit offences,147,22,11,20,,,,,,
496,A - IPC Crime,ILLEGAL DETENTION (Sec.342 IPC/127(2) BNS),,0,0,0,0,,,,,,
497,A - IPC Crime,FALSE EVIDENCE (Sec.191 to 205 IPC/227-242 BNS),,5,0,1,0,,,,,,
498,A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC/93 BNS),Boy ,19,1,2,2,,,,,,
499,A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC/93 BNS),Girl,26,4,5,6,,,,,,
500,A - IPC Crime,OF ABETMENT (Sec.107 to 120 IPC/45-60 BNS),,15,1,1,3,,,,,,
501,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174A, 229A IPC/209,269 BNS)",IPC 174 A/BNS 209,314,8,18,10,,,,,,
502,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174A, 229A IPC/209,269 BNS)",IPC 229 A/BNS 269,874,36,62,29,,,,,,
503,A - IPC Crime,Concealment of birth by secret disposal of Child,Girl,16,2,4,1,,,,,,
504,A - IPC Crime,Concealment of birth by secret disposal of Child,Boy,18,2,0,2,,,,,,
505,A - IPC Crime,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN,NA,4,1,2,0,,,,,,
506,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Govt. Institution,11,0,3,2,,,,,,
507,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Others,8,0,1,1,,,,,,
508,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Private Institution,0,0,0,0,,,,,,
509,A - IPC Crime,Human Trafficking,Women,3,0,0,0,,,,,,
510,A - IPC Crime,Human Trafficking,Girl ,2,0,0,1,,,,,,
511,A - IPC Crime,Human Trafficking,Eunuch,0,0,0,0,,,,,,
512,A - IPC Crime,Human Trafficking,Men,0,0,0,0,,,,,,
513,A - IPC Crime,Human Trafficking,Boy ,4,0,0,0,,,,,,
514,A - IPC Crime,Giving false information respecting an offence committed,Giving false information respecting an offence committed,24,1,3,1,,,,,,
515,A - IPC Crime,Harbouring offender,NA,2,0,0,0,,,,,,
516,A - IPC Crime,Pettry Organised Crimes,Cargo Theft,0,0,0,0,,,,,,
517,A - IPC Crime,Pettry Organised Crimes,Pick Pocketing,1,0,0,0,,,,,,
518,A - IPC Crime,Pettry Organised Crimes,Shop Lifting,0,0,0,0,,,,,,
519,A - IPC Crime,Pettry Organised Crimes,Theft Of ATM Machines,0,0,0,0,,,,,,
520,A - IPC Crime,Pettry Organised Crimes,Theft From Vehicles,0,0,0,0,,,,,,
521,A - IPC Crime,Pettry Organised Crimes,Unauthorised Betting/Gambling,115,0,8,5,,,,,,
522,A - IPC Crime,Pettry Organised Crimes,Others,10,20,4,1,,,,,,
523,A - IPC Crime,Public Servant in Judicial proceeding,Defence Personnel,0,0,0,0,,,,,,
524,A - IPC Crime,Public Servant in Judicial proceeding,Others,0,0,0,0,,,,,,
525,A - IPC Crime,Public Servant in Judicial proceeding,Jail Personnel,0,0,0,0,,,,,,
526,A - IPC Crime,Public Servant in Judicial proceeding,Para Military Personnel,0,0,0,0,,,,,,
527,A - IPC Crime,Public Servant in Judicial proceeding,Police Personnel,0,0,0,0,,,,,,
528,A - IPC Crime,Public Servant in Judicial proceeding,Public Sector Undertaking Official,0,0,0,0,,,,,,
529,A - IPC Crime,Public Servant in Judicial proceeding,Judicial Official,0,0,0,0,,,,,,
530,A - IPC Crime,Public Servant in Judicial proceeding,Minister,0,0,0,0,,,,,,
531,A - IPC Crime,Public Servant in Judicial proceeding,MLA,0,0,0,0,,,,,,
532,A - IPC Crime,Public Servant in Judicial proceeding,MP,0,0,0,0,,,,,,
533,A - IPC Crime,Public Servant in Judicial proceeding,Nationalised Bank Personnel,0,0,0,0,,,,,,
534,A - IPC Crime,Public Servant in Judicial proceeding,Other Elected Member,0,0,0,0,,,,,,
535,A - IPC Crime,Public Servant in Judicial proceeding,Other Enforcement Official,0,0,0,0,,,,,,
536,A - IPC Crime,Public Servant in Judicial proceeding,Other Govt Official,1,0,1,0,,,,,,
537,A - IPC Crime,"The Indian Stamp Act, 1899",NA,0,0,0,0,,,,,,
538,B - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Antiques & Art Treasures Act 1972,0,0,0,0,,,,,,
539,B - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Ancient Monument & Archaelogical Sites And Remains Act 1958,5,0,0,0,,,,,,
540,B - SPECIAL & LOCAL LAWS,ARMS ACT 1959,Country Made - Non Prohibited Bore - In Disturbed Area,11,0,2,3,,,,,,
541,B - SPECIAL & LOCAL LAWS,ARMS ACT 1960,Country Made - Non Prohibited Bore - In Other Area,106,6,17,14,,,,,,
